SDG	Author(s)	Faculty	Year	Citation	Citation 2	Abstract
SDG 12.00	"Jaimovich, Nir"	WWF	2018	"The end of men: growing demand for women's social skills in high-paying jobs. Zurich, Switzerland: UBS International Center of Economics in Society, University of Zurich."	"The end of men: growing demand for women's social skills in high-paying jobs. Zurich, Switzerland: UBS International Center of Economics in Society, University of Zurich."	"Demand for high-skilled workers who perform cognitive tasks has increased dramatically in the United States over the past four decades, with the biggest change between 1980 and 2000. This policy brief shows that the increase in demand was not experienced equally by both genders: despite rapid growth in employment in high-paying occupations, the probability that a college-educated man was employed in such a job fell, while the prospects for college-educated women improved. The key driver seems to be growing demand for social skills, such as empathy, communication, emotion recognition and verbal expression, in which evidence from psychological research indicates that women have a comparative advantage."
SDG 12.00	"Pomeranz, Dina"	WWF	2017	"Dodging the taxman: firm misreporting and limits to tax enforcement. American Economic Journal: Applied Economics, 9(2):144-164."	"Dodging the taxman: firm misreporting and limits to tax enforcement. American Economic Journal: Applied Economics, 9(2):144-164."	"Reducing tax evasion is a priority for many governments. A growing literature argues that verifying taxpayer reports against third-party information is critical for tax collection. However, effectiveness can be limited when tax authorities face constraints to credible enforcement and taxpayers make offsetting adjustments on other margins. We exploit a policy intervention in which Ecuadorian firms were notified about detected revenue discrepancies. Most firms simply failed to respond. Firms that responded increased reported revenue, matching the discrepancy amount when provided. However, they also increased reported costs by 96 cents per dollar of revenue adjustment, resulting in minor increases in tax collection."
SDG 12.00	"Scherer, Andreas Georg"	WWF	2015	"Corporate governance in a risk society. Journal of Business Ethics, 126(2):309-323."	"Corporate governance in a risk society. Journal of Business Ethics, 126(2):309-323."	"Under conditions of growing interconnectedness of the global economy, more and more stakeholders are exposed to risks and costs resulting from business activities that are neither regulated nor compensated for by means of national governance. The changing distribution of risks poses a threat to the legitimacy of business firms that normally derive their legitimacy from operating in compliance with the legal rules of democratic nation states. However, during the process of globalization, the regulatory power of nation states has been weakened and many production processes have been shifted to states with weak regulatory frameworks where businesses operate outside the reach of the democratic nation state. As a result, business firms have to address the various legitimacy challenges of their operations directly and cannot rely upon the legitimacy of their regulatory environment. These developments challenge the dominant approach to corporate governance that regards shareholders as the only stakeholder group in need of special protection due to risks not covered by contracts and legal regulations. On the basis of these considerations, we argue for a democratization of corporate governance structures in order to compensate for the governance deficits in their regulatory environment and to cope with the changing allocation of risks and costs. By way of democratic involvement of various stakeholders, business firms may be able to mitigate the redistribution of individual risk and address the resulting legitimacy deficits even when operating under conditions of regulatory gaps and governance failure."
SDG 12.00	"Scherer, Andreas Georg"	WWF	2014	"Legitimacy-as-Feeling: How affect leads to vertical legitimacy spillovers in transnational governance. Journal of Management Studies, 51(4):634-666."	"Legitimacy-as-Feeling: How affect leads to vertical legitimacy spillovers in transnational governance. Journal of Management Studies, 51(4):634-666."	"Transnational governance schemes (TGSs) are interorganizational networks of public and/or private actors that jointly regulate global public policy issues, such as the prevention of human rights violations and the protection of ecosystems. Considering that TGSs mainly address issues of public concern, the general public represents a major source of legitimacy in transnational governance. We theorize how members of the general public, whom we conceptualize as intuiters, apply heuristics to bestow legitimacy on TGSs. Given the difficulty of assessing TGSs, we argue that intuiters draw on affect-based responses towards a TGS's better-known network affiliates, such as participating business firms, to judge the legitimacy of the TGS as a whole. This substitution produces a “vertical” legitimacy spillover. More specifically, we examine the heuristic process of judgment underlying vertical spillovers in TGSs and derive implications for the legitimacy construct and the analysis of spillover phenomena."
SDG 12.00	"Scherer, Andreas Georg"	WWF	2014	"Unternehmen, Menschenrechte und Global Governance: Zur Umsetzung von Compliance auf Unternehmensebene. In: Bungenberg, Marc; Dutzi, Andreas; Krebs, Peter; Zimmermann, Nicole. Compliance und Corporate Social Responsibility: Chancen und Risiken sanfter Regulierung. Wiesbaden: Nomos, 58-80."	"Unternehmen, Menschenrechte und Global Governance: Zur Umsetzung von Compliance auf Unternehmensebene. In: Bungenberg, Marc; Dutzi, Andreas; Krebs, Peter; Zimmermann, Nicole. Compliance und Corporate Social Responsibility: Chancen und Risiken sanfter Regulierung. Wiesbaden: Nomos, 58-80."	
SDG 12.00	"Tanner, Carmen"	WWF	2018	"Environmental Risk Perception. In: Steg, Linda; de Groot, Judith I. M.. Environmental Psychology: An Introduction. West Sussex, UK: John Wiley, 15-25. https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119241072.ch2"	"Environmental Risk Perception. In: Steg, Linda; de Groot, Judith I. M.. Environmental Psychology: An Introduction. West Sussex, UK: John Wiley, 15-25. https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119241072.ch2"	
SDG 12.00	"Tanner, Carmen"	WWF	2016	"Protected values and economic decision-making. In: Brosch, Tobias; Sander, David. Handbook of Value: Perspectives from Economics, Neuroscience, Philosophy, Psychology and Sociology. New York: Oxford University Press, 223-241."	"Protected values and economic decision-making. In: Brosch, Tobias; Sander, David. Handbook of Value: Perspectives from Economics, Neuroscience, Philosophy, Psychology and Sociology. New York: Oxford University Press, 223-241."	
SDG 12.00	"Tanner, Carmen"	WWF	2014	"Ethical Leadership - How to integrate empirical and ethical aspects for promoting moral decision making in business practice. In: Christen, Markus; van Schaik, Carel; Fischer, Johannes; Huppenbauer, Markus; Tanner, Carmen. Empirically Informed Ethics: Morality between Facts and Norms. Cham: Springer, 239-254."	"Ethical Leadership - How to integrate empirical and ethical aspects for promoting moral decision making in business practice. In: Christen, Markus; van Schaik, Carel; Fischer, Johannes; Huppenbauer, Markus; Tanner, Carmen. Empirically Informed Ethics: Morality between Facts and Norms. Cham: Springer, 239-254."	
SDG 12.00	"Wagner, Alexander F"	WWF	2016	"Protected values and economic decision-making. In: Brosch, Tobias; Sander, David. Handbook of Value: Perspectives from Economics, Neuroscience, Philosophy, Psychology and Sociology. New York: Oxford University Press, 223-241."	"Protected values and economic decision-making. In: Brosch, Tobias; Sander, David. Handbook of Value: Perspectives from Economics, Neuroscience, Philosophy, Psychology and Sociology. New York: Oxford University Press, 223-241."	
SDG 12.00	"Weber, Roberto A"	WWF	2018	"Is social responsibility a normal good? Working paper series / Department of Economics 299, University of Zurich."	"Is social responsibility a normal good? Working paper series / Department of Economics 299, University of Zurich."	"We investigate whether growth in consumer income causes an increased willingness to pay to mitigate negative externalities from consumption. Correlational field evidence suggests a positive relationship between income and social responsibility. To investigate a causal link, we conduct a laboratory market experiment in which firms and consumers can exchange products that differ in the degree to which they mitigate negative external impacts at the expense of higher production costs. Our treatments exogenously vary consumers’ incomes. Our experimental results reveal that growth in consumer income causes an increase in the share of socially responsible consumption in the laboratory. Such a causal relationship is significant from a policy perspective, as it implies that some negative external impacts of consumption activity can be mitigated as societies experience economic growth."
SDG 13.00	"Gademann, Karl"	MNF	2019	"Pyrrolizidines for direct air capture and CO2 conversion. Chemical Communications, 55(7):949-952."	"Pyrrolizidines for direct air capture and CO2 conversion. Chemical Communications, 55(7):949-952."	"Greenhouse gases such as CO2 strongly contribute to the rising temperatures of our planet, but as long as our society is dependent on fossil fuels, this trend will even increase in the near future. Therefore, CO2 capture and subsequent utilization constitute an approach for decarbonization and CO2 mitigation, and for this purpose, amine scrubbing remains the industrially most established process. In this article, we describe the CO2 capture-ability of pyrrolizidine-based diamines, a scaffold with remarkably good properties to fulfill this challenge. We observed fast equimolar CO2-uptake, as well as high stability of these compounds during multiple capture and release-cycles. In addition, the amines could be utilized for direct air capture. Finally, we demonstrate the utility of the pyrrolizidine absorbents in the reduction of CO2 and for the formation of oxazolidinones."
SDG 13.00	"Linder, Peter H"	MNF	2017	"Climatologies at high resolution for the earth’s land surface areas. Scientific Data, 4:170122."	"Climatologies at high resolution for the earth’s land surface areas. Scientific Data, 4:170122."	
SDG 13.00	"Niklaus, Pascal A"	MNF	2019	"Globally consistent influences of seasonal precipitation limit grassland biomass response to elevated CO2. Nature Plants, 5(2):167-173."	"Globally consistent influences of seasonal precipitation limit grassland biomass response to elevated CO2. Nature Plants, 5(2):167-173."	
SDG 13.00	"Niklaus, Pascal A"	MNF	2018	"Alteration of nitrous oxide emissions from floodplain soils by aggregate size, litter accumulation and plant–soil interactions. Biogeosciences, 15(22):7043-7057."	"Alteration of nitrous oxide emissions from floodplain soils by aggregate size, litter accumulation and plant–soil interactions. Biogeosciences, 15(22):7043-7057."	"Semi-terrestrial soils such as floodplain soils are considered potential hot spots of nitrous oxide (N2O) emissions. Microhabitats in the soil – such as within and outside of aggregates, in the detritusphere, and/or in the rhizosphere – are considered to promote and preserve specific redox conditions. Yet our understanding of the relative effects of such microhabitats and their interactions on N2O production and consumption in soils is still incomplete. Therefore, we assessed the effect of aggregate size, buried leaf litter, and plant–soil interactions on the occurrence of enhanced N2O emissions under simulated flooding/drying conditions in a mesocosm experiment. We used two model soils with equivalent structure and texture, comprising macroaggregates (4000–250 µm) or microaggregates (<250 µm) from a N-rich floodplain soil. These model soils were planted with basket willow (Salix viminalis L.), mixed with leaf litter or left unamended. After 48 h of flooding, a period of enhanced N2O emissions occurred in all treatments. The unamended model soils with macroaggregates emitted significantly more N2O during this period than those with microaggregates. Litter addition modulated the temporal pattern of the N2O emission, leading to short-term peaks of high N2O fluxes at the beginning of the period of enhanced N2O emission. The presence of S. viminalis strongly suppressed the N2O emission from the macroaggregate model soil, masking any aggregate-size effect. Integration of the flux data with data on soil bulk density, moisture, redox potential and soil solution composition suggest that macroaggregates provided more favourable conditions for spatially coupled nitrification–denitrification, which are particularly conducive to net N2O production. The local increase in organic carbon in the detritusphere appears to first stimulate N2O emissions; but ultimately, respiration of the surplus organic matter shifts the system towards redox conditions where N2O reduction to N2 dominates. Similarly, the low emission rates in the planted soils can be best explained by root exudation of low-molecular-weight organic substances supporting complete denitrification in the anoxic zones, but also by the inhibition of denitrification in the zone, where rhizosphere aeration takes place. Together, our experiments highlight the importance of microhabitat formation in regulating oxygen (O2) content and the completeness of denitrification in soils during drying after saturation. Moreover, they will help to better predict the conditions under which hot spots, and “hot moments”, of enhanced N2O emissions are most likely to occur in hydrologically dynamic soil systems like floodplain soils."
SDG 13.00	"Niklaus, Pascal A"	MNF	2017	"Reconstruction of historic forest cover changes indicates minor effects on carbon stocks in swiss forest soils. Ecosystems, 20(8):1512-1528."	"Reconstruction of historic forest cover changes indicates minor effects on carbon stocks in swiss forest soils. Ecosystems, 20(8):1512-1528."	"Forest cover in Switzerland and other European countries has gradually increased in the past century. Our knowledge of the impacts of forest expansion and development on soil organic carbon (SOC) storage is, however, limited due to uncertainties in land-use history and lack of historical soil samples. We investigated the effect of forest age on current SOC storage in Switzerland. For 857 sites, we analysed SOC stocks and determined the minimal forest age for all presently forested sites using digitized historical maps, classifying all sites into three categories: young (≤60 years), medium (60–120 years), and old (≥120 years) forests. Grassland was the primary previous use of afforested land. Forest age affected current SOC stocks only moderately, whereas climate, soil chemistry, and tree species exerted a stronger impact. In the organic layer, highest SOC stocks were found in medium sites (3.0±0.3kgCm−2). As compared to other age categories, these sites had a 10% higher cover in coniferous forests with higher organic layer C stocks than broadleaf forests. SOC stocks in mineral soils decreased with increasing forest age (12.5±0.9,11.4±0.5,10.5±0.3kgCm−2). This decrease was primarily related to a 200-m higher average elevation of young sites and higher SOC stocks in a colder and more humid climate. In summary, forest age has only a minor effect on SOC storage in Swiss forest soils. Therefore, ongoing forest expansion in mountainous regions of Europe is unlikely contributing to soil C sequestration."
SDG 13.00	"Niklaus, Pascal A"	MNF	2017	"Spatio-temporal dynamics of soil CH4 uptake after application of N fertilizer with and without the nitrification inhibitor 3,4- dimethylpyrazole phosphate (DMPP). Soil Biology and Biochemistry, 104:218-225."	"Spatio-temporal dynamics of soil CH4 uptake after application of N fertilizer with and without the nitrification inhibitor 3,4- dimethylpyrazole phosphate (DMPP). Soil Biology and Biochemistry, 104:218-225."	"Soil ecosystems actively regulate climate by controlling methane and nitrous oxide fluxes into the atmosphere. Soils have been, however, drastically altered by agricultural practices, such as nitrogen amendment which increases nitrous oxide emission while it reduces methane uptakes in well-aerated soils by affecting methane-oxidizing bacteria. New nitrification inhibitors, such as 3,4-dimethylpyrazole phosphate (DMPP), are often applied in combination with nitrogen-based fertilizer to increase plant productivity by increasing available ammonium and inhibiting denitrification processes reducing in turn nitrous oxide emissions. However, the increase in ammonium due to nitrification inhibition might also affect methane oxidizing bacteria. We therefore investigated the effects of nitrogen-based fertilizer and DMPP on methane and nitrous oxide fluxes in an extensively managed grassland. We also determined the spatial distribution of active methane oxidizing bacteria by radiolabeling. Short-term reduction in methane uptake and methanotrophic activity occurred after application of 600 kg N ha−1 while DMPP did not alter methane uptake but reduced nitrous oxide emission. The combination of both radio-labeling and field measurement revealed that methane uptake collapsed in the field when methanotrophic activity was inhibited not only in the surface but also in deeper soil. Finally, both methane uptake and methanotrophic activity recovered with time."
SDG 13.00	"Niklaus, Pascal A"	MNF	2016	"Experimental soil warming and cooling alters the partitioning of recent assimilates: evidence from a 14C-labelling study at the alpine treeline. Oecologia, 181(1):25-37."	"Experimental soil warming and cooling alters the partitioning of recent assimilates: evidence from a 14C-labelling study at the alpine treeline. Oecologia, 181(1):25-37."	"Despite concerns about climate change-effects on ecosystems functioning, only little is known on how plant assimilate partitioning changes with temperature. Particularly large temperature-effects might occur in cold ecosystems where critical processes are at their temperature limit. In this study, we tested temperature effects on carbon (C) assimilate partitioning in a field experiment at the alpine treeline. We warmed and cooled soils of microcosms planted with Pinus mugo or Leucanthemopsis alpina, achieving daily mean soil temperatures (3-10 cm depth) around 5.8, 12.7 and 19.2°C in cooled, control and warmed soils. We pulse-labelled these systems with 14CO2 for one photoperiod and traced 14C over the successive four days. Plant net 14C uptake increased steadily with soil temperature. However, 14C amounts in fungal hyphae, soil microbial biomass, soil organic matter, and soil respiration showed a non-linear response to temperature. This non-linear pattern was particularly pronounced in P. mugo, with five times higher 14C activities in cooled compared to control soils, but no difference between warmed and control soil. Autoradiographic analysis of the spatial distribution of 14C in soils indicated that temperature effects on the vertical label distribution within soils depended on plant species. Our results show that plant growth, in particular root metabolism, is limited by low soil temperature. As a consequence, positive temperature effects on net C uptake may not be paralleled by similar changes in rhizodeposition. This has important implications for predictions of soil C storage, because rhizodeposits and plant biomass strongly vary in their residence time."
SDG 13.00	"Niklaus, Pascal A"	MNF	2016	"Plant species diversity affects soil–atmosphere fluxes of methane and nitrous oxide. Oecologia, 181(3):919-930."	"Plant species diversity affects soil–atmosphere fluxes of methane and nitrous oxide. Oecologia, 181(3):919-930."	"Plant diversity effects on ecosystem functioning can potentially interact with global climate by altering fluxes of the radiatively active trace gases nitrous oxide (N2O) and methane (CH4). We studied the effects of grassland species richness (1-16) in combination with application of fertilizer (nitrogen:phosphorus:potassium = 100:43.6:83 kg ha(-1) a(-1)) on N2O and CH4 fluxes in a long-term field experiment. Soil N2O emissions, measured over 2 years using static chambers, decreased with species richness unless fertilizer was added. N2O emissions increased with fertilization and the fraction of legumes in plant communities. Soil CH4 uptake, a process driven by methanotrophic bacteria, decreased with plant species numbers, irrespective of fertilization. Using structural equation models, we related trace gas fluxes to soil moisture, soil inorganic N concentrations, nitrifying and denitrifying enzyme activity, and the abundance of ammonia oxidizers, nitrite oxidizers, and denitrifiers (quantified by real-time PCR of gene fragments amplified from microbial DNA in soil). These analyses indicated that plant species richness increased soil moisture, which in turn increased N cycling-related activities. Enhanced N cycling increased N2O emission and soil CH4 uptake, with the latter possibly caused by removal of inhibitory ammonium by nitrification. The moisture-related indirect effects were surpassed by direct, moisture-independent effects opposite in direction. Microbial gene abundances responded positively to fertilizer but not to plant species richness. The response patterns we found were statistically robust and highlight the potential of plant biodiversity to interact with climatic change through mechanisms unrelated to carbon storage and associated carbon dioxide removal."
SDG 13.00	"Niklaus, Pascal A"	MNF	2016	"Tree diversity enhances stand carbon storage but not leaf area in a subtropical forest.PLoS ONE, 11(12):e0167771."	"Tree diversity enhances stand carbon storage but not leaf area in a subtropical forest.PLoS ONE, 11(12):e0167771."	"Research about biodiversity–productivity relationships has focused on herbaceous ecosystems, with results from tree field studies only recently beginning to emerge. Also, the latter are concentrated largely in the temperate zone. Tree species diversity generally is much higher in subtropical and tropical than in temperate or boreal forests, with reasons not fully understood. Niche overlap and thus complementarity in the use of resources that support productivity may be lower in forests than in herbaceous ecosystems, suggesting weaker productivity responses to diversity change in forests. We studied stand basal area, vertical structure, leaf area, and their relationship with tree species richness in a subtropical forest in south-east China. Permanent forest plots of 30 x 30 m were selected to span largely independent gradients in tree species richness and secondary successional age. Plots with higher tree species richness had a higher stand basal area. Also, stand basal area increases over a 4-year census interval were larger at high than at low diversity. These effects translated into increased carbon stocks in aboveground phytomass (estimated using allometric equations). A higher variability in tree height in more diverse plots suggested that these effects were facilitated by denser canopy packing due to architectural complementarity between species. In contrast, leaf area was not or even negatively affected by tree diversity, indicating a decoupling of carbon accumulation from leaf area. Alternatively, the same community leaf area might have assimilated more C per time interval in more than in less diverse plots because of differences in leaf turnover and productivity or because of differences in the display of leaves in vertical and horizontal space. Overall, our study suggests that in species-rich forests niche-based processes support a positive diversity–productivity relationship and that this translates into increased carbon storage in long-lived woody structures. Given the high growth rates of these forests during secondary succession, our results further indicate that a forest management promoting tree diversity after disturbance may accelerate CO2 sequestration from the atmosphere and thus be relevant in a climate-change context."
SDG 13.00	"Niklaus, Pascal A"	MNF	2015	"Effects of long-term CO2 enrichment on soil-atmosphere CH4 fluxes and the spatial micro-distribution of methanotrophic bacteria. PLoS ONE, 10(7):e0131665."	"Effects of long-term CO2 enrichment on soil-atmosphere CH4 fluxes and the spatial micro-distribution of methanotrophic bacteria. PLoS ONE, 10(7):e0131665."	"Background: Effects of elevated atmospheric CO2 concentrations on plant growth and associated C cycling have intensively been studied, but less is known about effects on the fluxes of radiatively active trace gases other than CO2. Net soil-atmosphere CH4 fluxes are determined by the balance of soil microbially-driven methane (CH4) oxidation and methanogenesis, and both might change under elevated CO2.
Methods and Results: Here, we studied CH4 dynamics in a permanent grassland exposed to elevated CO2 for 14 years. Soil-atmosphere fluxes of CH4 were measured using large static chambers, over a period of four years. The ecosystem was a net sink for atmospheric CH4 for most of the time except summer to fall when net CH4 emissions occurred. We did not detect any elevated CO2 effects on CH4 fluxes, but emissions were difficult to quantify due to their discontinuous nature, most likely because of ebullition from the saturated zone. Potential methanotrophic activity, determined by incubation of fresh sieved soil under standardized conditions, also did not reveal any effect of the CO2 treatment. Finally, we determined the spatial micro-distribution of methanotrophic activity at less than 5× atmospheric (10 ppm) and elevated (10000 ppm) CH4 concentrations, using a novel auto-radiographic technique. These analyses indicated that domains of net CH4 assimilation were distributed throughout the analyzed top 15 cm of soils, with no dependence on CH4 concentration or CO2 treatment.
Conclusions: Our investigations suggest that elevated CO2 exerts no or only minor effects on CH4 fluxes in the type of ecosystem we studied, at least as long as soil moisture differences are small or absent as was the case here. The autoradiographic analyses further indicate that the spatial niche of CH4 oxidation does not shift in response to CO2 enrichment or CH4 concentration, and that the same type of methanotrophs may oxidize CH4 from atmospheric and soil-internal sources."
SDG 13.00	"Ozgul, Arpat"	MNF	2018	"The interacting effects of forestry and climate change on the demography of a group-living bird population. Oecologia, 186(4):907-918."	"The interacting effects of forestry and climate change on the demography of a group-living bird population. Oecologia, 186(4):907-918."	"Anthropogenic degradation of natural habitats is a global driver of wildlife population declines. Local population responses to such environmental perturbations are generally well understood, but in socially structured populations, interactions between environmental and social factors may influence population responses. Thus, understanding how habitat degradation affects the dynamics of these populations requires simultaneous consideration of social and environmental mechanisms underlying demographic responses. Here we investigated the effect of habitat degradation through commercial forestry on spatiotemporal dynamics of a group-living bird, the Siberian jay, Perisoreus infaustus, in boreal forests of northern Sweden. We assessed the interacting effects of forestry, climate and population density on stage-specific, seasonal life-history rates and population dynamics, using long-term, individual-based demographic data from 70 territories in natural and managed forests. Stage-specific survival and reproductive rates, and consequently population growth, were lower in managed forests than in natural forests. Population growth was most sensitive to breeder survival and was more sensitive to early dispersing juveniles than those delaying dispersal. Forestry decreased population growth in managed forests by reducing reproductive success and breeder survival. Increased snow depth improved winter survival, and warmer spring temperatures enhanced reproductive success, particularly in natural forests. Population growth was stable in natural forests but it was declining in managed forests, and this difference accelerated under forecasted climate scenarios. Thus, climatic change could exacerbate the rate of forestry-induced population decline through reduced snow cover in our study species, and in other species with similar life-history characteristics and habitat requirements."
SDG 13.00	"Petchey, Owen L"	MNF	2014	"Effects of directional environmental change on extinction dynamics in experimental microbial communities are predicted by a simple model. Oikos, 123(2):141-150."	"Effects of directional environmental change on extinction dynamics in experimental microbial communities are predicted by a simple model. Oikos, 123(2):141-150."	"Global temperatures are expected to rise between 1.1 and 6.4°C over the next 100 years, although the exact rate will depend on future greenhouse emissions, and will vary spatially. Temperature can alter an individual's metabolic rate, and consequently birth and death rates. In declining populations, these alterations may manifest as changes in the rate of that population's decline, and subsequently the timing of extinction events. Predicting such events could therefore be of considerable use. We use a small-scale experimental system to investigate how the rate of temperature change can alter a population's time to extinction, and whether it is possible to predict this event using a simple phenomenological model that incorporates information about population dynamics at a constant temperature, published scaling of metabolic rates, and temperature. In addition, we examine 1) the relative importance of the direct effects of temperature on metabolic rate, and the indirect effects (via temperature driven changes in body size), on predictive accuracy (defined as the proximity of the predicted date of extinction to the mean observed date of extinction), 2) the combinations of model parameters that maximise accuracy of predictions, and 3) whether substituting temperature change through time with mean temperature produces accurate predictions. We find that extinction occurs earlier in environments that warm faster, and this can be accurately predicted (R2 > 0.84). Increasing the number of parameters that were temperature-dependent increased the model's accuracy, as did scaling these temperature-dependent parameters with either the direct effects of temperature alone, or with the direct and indirect effects. Using mean temperature through time instead of actual temperature produces less accurate predictions of extinction. These results suggest that simple phenomenological models, incorporating metabolic theory, may be useful in understanding how environmental change can alter a population's rate of extinction."
SDG 13.00	"Schaepman-Strub, Gabriela"	MNF	2018	"Accelerating rates of Arctic carbon cycling revealed by long-term atmospheric CO 2 measurements. Science Advances, 4(7):eaao1167."	"Accelerating rates of Arctic carbon cycling revealed by long-term atmospheric CO 2 measurements. Science Advances, 4(7):eaao1167."	"The contemporary Arctic carbon balance is uncertain, and the potential for a permafrost carbon feedback of anywhere from 50 to 200 petagrams of carbon (Schuur et al., 2015) compromises accurate 21st-century global climate system projections. The 42-year record of atmospheric CO2 measurements at Barrow, Alaska (71.29 N, 156.79 W), reveals significant trends in regional land-surface CO2 anomalies (ΔCO2), indicating long-term changes in seasonal carbon uptake and respiration. Using a carbon balance model constrained by ΔCO2, we find a 13.4% decrease in mean carbon residence time (50% confidence range = 9.2 to 17.6%) in North Slope tundra ecosystems during the past four decades, suggesting a transition toward a boreal carbon cycling regime. Temperature dependencies of respiration and carbon uptake suggest that increases in cold season Arctic labile carbon release will likely continue to exceed increases in net growing season carbon uptake under continued warming trends."
SDG 13.00	"Schaepman-Strub, Gabriela"	MNF	2018	"Plant functional trait change across a warming tundra biome. Nature, 562(7725):57-62."	"Plant functional trait change across a warming tundra biome. Nature, 562(7725):57-62."	"The tundra is warming more rapidly than any other biome on Earth, and the potential ramifications are far-reaching because of global feedback effects between vegetation and climate. A better understanding of how environmental factors shape plant structure and function is crucial for predicting the consequences of environmental change for ecosystem functioning. Here we explore the biome-wide relationships between temperature, moisture and seven key plant functional traits both across space and over three decades of warming at 117 tundra locations. Spatial temperature–trait relationships were generally strong but soil moisture had a marked influence on the strength and direction of these relationships, highlighting the potentially important influence of changes in water availability on future trait shifts in tundra plant communities. Community height increased with warming across all sites over the past three decades, but other traits lagged far behind predicted rates of change. Our findings highlight the challenge of using space-for-time substitution to predict the functional consequences of future warming and suggest that functions that are tied closely to plant height will experience the most rapid change. They also reveal the strength with which environmental factors shape biotic communities at the coldest extremes of the planet and will help to improve projections of functional changes in tundra ecosystems with climate warming."
SDG 13.00	"Schaepman-Strub, Gabriela"	MNF	2017	"Cloud effects on atmospheric solar absorption in light of most recent surface and satellite measurements. In: AIP Conference, New York, 2017 - 2017, 090003."	"Cloud effects on atmospheric solar absorption in light of most recent surface and satellite measurements. In: AIP Conference, New York, 2017 - 2017, 090003."	
SDG 13.00	"Schaepman-Strub, Gabriela"	MNF	2017	"Giant tortoise habitats under increasing drought conditions on Aldabra Atoll—Ecological indicators to monitor rainfall anomalies and related vegetation activity. Ecological Indicators, 80:354-362."	"Giant tortoise habitats under increasing drought conditions on Aldabra Atoll—Ecological indicators to monitor rainfall anomalies and related vegetation activity. Ecological Indicators, 80:354-362."	"Aldabra Atoll has the largest population of giant tortoises (Aldabrachelys gigantea) in the world. As such an important biological resource, it is necessary to understand how the effects of climate change will impact this keystone species; in particular the frequency of drought, which is likely to affect tortoise habitat. To assess whether drought frequency has changed over the last 50 years on Aldabra, we calculated the standardized, precipitation index (SPI) to identify drought periods using monthly rainfall data collected during 1969–2013. We found that drought frequency has increased to more than six drought months per year today compared with about two months per year in the 1970s (t =2.884, p=0.006). We used MODIS normalized difference vegetation index (NDVI) as a proxy for vegetation activity, to determine how vegetation has responded to the changing drought frequency between 2000 and 2013. We found that Aldabra’s vegetation is highly responsive to changes in rainfall: anomalies in long-term mean monthly NDVI across Aldabra were found to decrease below the mean during most drought periods and increase above the mean during most non-drought periods. To investigate the response of tortoise habitat to rainfall, we extracted mean NDVI anomalies for three key habitat types. Open mixed scrub and grasslands, the preferred habitat of tortoises, showed the greatest decrease in vegetation activity during drought periods, and the greatest increase in average greenness during non-drought periods. Recent analysis has shown vegetation changes on Aldabra in recent decades. If these changes are caused by decreased precipitation, then the increased frequency of drought could impact the tortoise population, in both the short and long term, by limiting the quality and quantity of forage and/or shade availability within favoured habitats, and by changing the habitat composition across the atoll."
SDG 13.00	"Schaepman-Strub, Gabriela"	MNF	2017	"Shrub growth rate and bark responses to soil warming and nutrient addition – A dendroecological approach in a field experiment. Dendrochronologia, 45:12-22."	"Shrub growth rate and bark responses to soil warming and nutrient addition – A dendroecological approach in a field experiment. Dendrochronologia, 45:12-22."	"Tundra shrubs are slow-growing species limited by low air temperature and scarce nutrient availability. However, shrub expansion has been widely observed in the Arctic during the last decades and attributed to climate warming. Shift in shrub growth, wood structure and abundance affects the surface albedo and permafrost thawing and these changes may feedback to climate. Despite the importance of shrub–climate feedbacks, uncertainties about shrub growth sensitivity to climate remain. Here, we explored the indirect effects of climate warming on shrub growth (vertical and radial), bark thickness, and bark investment in four arctic shrub species. We combined a field experiment addressing two suggested growth drivers – thawing depth and nutrient availability – with dendroecology in a Siberian tundra ecosystem. We used heating cables to increase the thawing depth. To enhance the nutrient availability, we fertilized the surface soil layers. We found that shrub growth was mainly limited by nutrient availability, as indicated by the fertilization treatment effects on shrub growth ring widths. We also found a bark thickness decrease with the combined soil heating and nutrient addition treatment and a negative correlation between bark investment and growth rate for two of the species. These findings suggest that tundra shrubs, especially deciduous species, will grow faster and taller driven by an increasing nutrient availability in the surface soil layers. However, shrubs might become more vulnerable to pests, herbivory, and climate extremes, such as frost or drought events, due to thinner bark and lower bark investment. Using dendroecological approaches in field experiments simulating projected climate scenarios for the Arctic, and an increasing number of study species and locations will reduce uncertainties related to shrub growth sensitivity to climate and other processes driving shrub dynamics."
